Gamma_e,delta_a,peak_index,peak_position
0.1778,19.5,0,-9.749595012043875
0.1778,19.5,1,9.747311513890569
0.1778,20.0,0,-9.99960512209448
0.1778,20.0,1,9.99737890452045
0.1778,20.5,0,-10.249614740147441
0.1778,20.5,1,10.247442995229541
0.1778,21.0,0,-10.499623901266153
0.1778,21.0,1,10.497504022905112
0.1778,21.5,0,-10.749632636846611
0.1778,21.5,1,10.747562202134771
0.1778,22.0,0,-10.999640975805432
0.1778,22.0,1,10.997617728122224
0.1778,22.5,0,-11.249648944813565
0.1778,22.5,1,11.247670778426194
0.1778,23.0,0,-11.499656567949181
0.1778,23.0,1,11.497721515190719
0.1778,23.5,0,-11.74966419000333
0.1778,23.5,1,11.747770086797985
0.1778,24.0,0,-11.999670862909275
0.1778,24.0,1,11.997816628705449
0.1778,24.5,0,-12.249677573494624
0.1778,24.5,1,12.247861265982051
0.3162,0.5,0,-0.23001750055265832
0.3162,1.0,0,-0.48132996809993106
0.3162,1.5,0,-0.7354284198179064
0.3162,1.5,1,0.6511069754705046
0.3162,2.0,0,-0.9884157493135488
0.3162,2.0,1,0.9370374577528554
0.3162,2.5,0,-1.2404772955501082
0.3162,2.5,1,1.2030372310075408
0.3162,3.0,0,-1.4919458261641336
0.3162,3.0,1,1.4622950064270097
0.3162,3.5,0,-1.7430335743020526
0.3162,3.5,1,1.7183936120339482
0.3162,4.0,0,-1.9938687902247914
0.3162,4.0,1,1.9727392062550764
0.3162,4.5,0,-2.244528239521359
0.3162,4.5,1,2.2260056971391267
0.3162,5.0,0,-2.495061335887746
0.3162,5.0,1,2.478557343220343
0.3162,5.5,0,-2.745500812120851
0.3162,5.5,1,2.7306067281120128
0.3162,6.0,0,-2.9958691136625406
0.3162,6.0,1,2.9822942227275298
0.3162,6.5,0,-3.246182104328017
0.3162,6.5,1,3.2337064900102113
0.3162,7.0,0,-3.496451293216041
0.3162,7.0,1,3.4849072525704052
0.3162,7.5,0,-3.7466855280584603
0.3162,7.5,1,3.7359411857589917
0.3162,8.0,0,-3.9968903602738157
0.3162,8.0,1,3.9868411134475754
0.3162,8.5,0,-4.247071691543145
0.3162,8.5,1,4.23763171690605
0.3162,9.0,0,-4.497233117437669
0.3162,9.0,1,4.488331926584848
0.3162,9.5,0,-4.747377321678733
0.3162,9.5,1,4.738956513704899
0.3162,10.0,0,-4.997508028489672
0.3162,10.0,1,4.989517178852561
0.3162,10.5,0,-5.247626022544121
0.3162,10.5,1,5.24002331451948
0.3162,11.0,0,-5.4977333755218565
0.3162,11.0,1,5.490482549462862
0.3162,11.5,0,-5.74783146045174
0.3162,11.5,1,5.740901146614738
0.3162,12.0,0,-5.99792142659485
0.3162,12.0,1,5.991284296295177
0.3162,12.5,0,-6.248004238846649
0.3162,12.5,1,6.2416363374408075
0.3162,13.0,0,-6.498080882100959
0.3162,13.0,1,6.491960926090501
0.3162,13.5,0,-6.748151559769552
0.3162,13.5,1,6.742261164766781
0.3162,14.0,0,-6.998217367052044
0.3162,14.0,1,6.992539703868837
0.3162,14.5,0,-7.248278656056796
0.3162,14.5,1,7.242798821728815
0.3162,15.0,0,-7.498335876275227
0.3162,15.0,1,7.493040487222237
0.3162,15.5,0,-7.748389419531595
0.3162,15.5,1,7.743266411263345
0.3162,16.0,0,-7.998439628611127
0.3162,16.0,1,7.993478087554938
0.3162,16.5,0,-8.248486805249609
0.3162,16.5,1,8.243676826141677
0.3162,17.0,0,-8.49853121592971
0.3162,17.0,1,8.493863780789342
0.3162,17.5,0,-8.748573096637237
0.3162,17.5,1,8.74403997181248
0.3162,18.0,0,-8.998612657303246
0.3162,18.0,1,8.99420630475075
0.3162,18.5,0,-9.248650086120069
0.3162,18.5,1,9.244363586297176
0.3162,19.0,0,-9.49868554884688
0.3162,19.0,1,9.49451253697866
0.3162,19.5,0,-9.748719198098337
0.3162,19.5,1,9.744653803010968
0.3162,20.0,0,-9.998751169299208
0.3162,20.0,1,9.99478796510374
0.3162,20.5,0,-10.248781583581264
