Gamma_e,delta_a,delta_f,OmegaA,OmegaB,MuB,peak_index,peak_position
0.01,8.5,8.49997464319671,0.0146236000485028,1.46255512226152,0.0,1,4.249987321597987
0.01,9.0,8.99997492585226,0.0147337652458528,1.49722330898374,0.0,0,-4.499987462955461
0.01,9.0,8.99997492585226,0.0147337652458528,1.49722330898374,0.0,1,4.499987462928052
0.01,9.5,9.49997735682819,0.0146235983693645,1.46255563851903,0.0,0,-4.749988678449108
0.01,9.5,9.49997735682819,0.0146235983693645,1.46255563851903,0.0,1,4.749988678413837
0.01,10.0,9.9999785120088,0.0146235916358296,1.46255476217751,0.0,0,-4.999989256045242
0.01,10.0,9.9999785120088,0.0146235916358296,1.46255476217751,0.0,1,4.999989256003472
0.01,10.5,10.4999790911047,0.0147615305479822,1.51625394969853,0.0,0,-5.24998954559875
0.01,10.5,10.4999790911047,0.0147615305479822,1.51625394969853,0.0,1,5.249989545552416
0.01,11.0,10.9999804718751,0.0146235999438611,1.46255623528021,0.0,0,-5.499990235991911
0.01,11.0,10.9999804718751,0.0146235999438611,1.46255623528021,0.0,1,5.499990235938631
0.01,11.5,11.4999813213479,0.01462358315939,1.46255834731349,0.0,0,-5.749990660736065
0.01,11.5,11.4999813213479,0.01462358315939,1.46255834731349,0.0,1,5.749990660674203
0.01,12.0,11.9999821127086,0.0146235928065173,1.46255783916834,0.0,0,-5.999991056424876
0.01,12.0,11.9999821127086,0.0146235928065173,1.46255783916834,0.0,1,5.999991056354306
0.01,12.5,12.4999825732434,0.0147080237293195,1.45122585316392,0.0,0,-6.249991286700557
0.01,12.5,12.4999825732434,0.0147080237293195,1.45122585316392,0.0,1,6.2499912866220475
0.01,13.0,12.9999834976682,0.014623586404454,1.46255723979776,0.0,0,-6.49999174892383
0.01,13.0,12.9999834976682,0.014623586404454,1.46255723979776,0.0,1,6.499991748834167
0.01,13.5,13.4999841004559,0.0146235807803007,1.4625587813073,0.0,0,-6.749992050328437
0.01,13.5,13.4999841004559,0.0146235807803007,1.4625587813073,0.0,1,6.749992050229702
0.01,14.0,13.9999809817515,0.0158341448392386,1.37052804149294,0.0,0,-6.99999049097134
0.01,14.0,13.9999809817515,0.0158341448392386,1.37052804149294,0.0,1,6.999990490875264
0.01,14.5,14.4999852093036,0.0146235597097177,1.4625590421417,0.0,0,-7.249992604776314
0.01,14.5,14.4999852093036,0.0146235597097177,1.4625590421417,0.0,1,7.249992604652287
0.01,15.0,14.99998557472,0.0145759179979404,1.41588242298968,0.0,0,-7.499992787498746
0.01,15.0,14.99998557472,0.0145759179979404,1.41588242298968,0.0,1,7.4999927873600605
0.01,15.5,15.4999861843563,0.0146235715901818,1.46255803702172,0.0,0,-7.749993092330242
0.01,15.5,15.4999861843563,0.0146235715901818,1.46255803702172,0.0,1,7.749993092178917
0.01,16.0,15.9999866051874,0.0146235693021881,1.46255812710226,0.0,0,-7.999993302760991
0.01,16.0,15.9999866051874,0.0146235693021881,1.46255812710226,0.0,1,7.999993302593914
0.01,16.5,16.4999870156688,0.014623562408333,1.46255729611147,0.0,0,-8.24999350801787
0.01,16.5,16.4999870156688,0.014623562408333,1.46255729611147,0.0,1,8.249993507833528
0.01,17.0,16.9999874100275,0.0146235738954584,1.4625587569449,0.0,0,-8.49999370521441
0.01,17.0,16.9999874100275,0.0146235738954584,1.4625587569449,0.0,1,8.49999370501395
0.01,17.5,17.4999878667526,0.0145901844615776,1.48216698731323,0.0,0,-8.749993933596194
0.01,17.5,17.4999878667526,0.0145901844615776,1.48216698731323,0.0,1,8.749993933375288
0.01,18.0,17.9999880903433,0.0146235622500022,1.4625577604696,0.0,0,-8.999994045409844
0.01,18.0,17.9999880903433,0.0146235622500022,1.4625577604696,0.0,1,8.99999404517182
0.01,18.5,18.4999883039942,0.0151196312996674,1.54533078396313,0.0,0,-9.24999415223901
0.01,18.5,18.4999883039942,0.0151196312996674,1.54533078396313,0.0,1,9.249994151997265
0.01,19.0,18.9999887305394,0.0146235659886324,1.46255771879275,0.0,0,-9.499994365549838
0.01,19.0,18.9999887305394,0.0146235659886324,1.46255771879275,0.0,1,9.49999436526997
0.01,19.5,19.4999890138366,0.0146235747381464,1.4625579250803,0.0,0,-9.749994507221142
0.01,19.5,19.4999890138366,0.0146235747381464,1.4625579250803,0.0,1,9.749994506917764
0.01,20.0,19.9999892863621,0.01462356731713,1.46255859219334,0.0,0,-9.99999464350779
0.01,20.0,19.9999892863621,0.01462356731713,1.46255859219334,0.0,1,9.999994643182104
0.01,20.5,20.499986290823,0.0168093535556913,1.63810159485683,0.0,0,-10.249993145677804
0.01,20.5,20.499986290823,0.0168093535556913,1.63810159485683,0.0,1,10.249993145411306
0.01,21.0,20.9999897970041,0.0146235689489255,1.46255799688539,0.0,0,-10.499994898880344
0.01,21.0,20.9999897970041,0.0146235689489255,1.46255799688539,0.0,1,10.499994898501535
0.01,21.5,21.499990039242,0.0146235705521387,1.46255840126911,0.0,0,-10.749995020026908
0.01,21.5,21.499990039242,0.0146235705521387,1.46255840126911,0.0,1,10.749995019621554
0.01,22.0,21.9999902660847,0.01462356410445,1.46255868054543,0.0,0,-10.999995133477292
0.01,22.0,21.9999902660847,0.01462356410445,1.46255868054543,0.0,1,10.999995133042031
0.01,22.5,22.4999904779345,0.0146235540814386,1.46255915919167,0.0,0,-11.249995239432424
0.01,22.5,22.4999904779345,0.0146235540814386,1.46255915919167,0.0,1,11.249995238967077
0.01,23.0,22.9999906972858,0.0146235739062761,1.46255603073543,0.0,0,-11.499995349139832
0.01,23.0,22.9999906972858,0.0146235739062761,1.46255603073543,0.0,1,11.499995348643107
