P_max,OmegaP,OmegaM,t_max,Mu,Gamma_e,delta_a,delta_f,number_of_fails,mp.dps,ComputTime
0.0517262920254703,0.217131810403156,0.137639753625765,6.70428472589063,0,0.0178,12.5,12.4977737959166,2,25,3393.21578884125
0.0538162618669137,0.205121469460918,0.123534932026121,7.21231053449099,0,0.0178,13,12.9982106228252,3,25,6384.51907134056
0.0550228614193012,0.201847911190583,0.116267467395434,7.44587996858583,0,0.0178,13.5,13.4984479012665,6,25,5301.53482913971
0.0553625065913824,0.205904267212473,0.117640388254577,7.35888458383634,0,0.0178,14,13.9984516865214,7,25,6032.67230343819
0.0480309764701902,0.221693675111562,0.124347114344176,6.60165486092063,0,0.0178,14.5,14.4984246332113,6,80,27683.2198169231
0.0562896932497412,0.209527829211747,0.114195477144569,7.37384270622714,0,0.0178,15,14.9985496861596,8,25,6785.51589345932
0.0567455410666066,0.206773891582121,0.106851314346256,7.54816805860447,0,0.0178,15.5,15.4980155395953,3,25,5864.90735316277
0.0567643605553522,0.214712056345787,0.113076575334434,7.29682312479497,0,0.0178,16,15.998152106093,5,25,6436.80306339264
0.0567174133340425,0.222575258168275,0.119542055763335,7.06055317707154,0,0.0178,16.5,16.4982277921237,11,25,10800.6816926003
0.0551732812727223,0.244713072842592,0.146406002592841,6.35528867701621,0,0.0178,17,16.9978078225884,8,25,8371.19191288948
0.0480310607941368,0.221697837867855,0.124347478081381,6.60170014108368,0,0.0178,17.5,17.4986952004318,9,80,34482.9113886356
0.0563890694042391,0.243913073254457,0.137031235850718,6.49635794421026,0,0.0178,18,17.9980695986516,6,25,6684.70950961113
0.0566949328939783,0.244586228899706,0.134028413224819,6.52111385560458,0,0.0178,18.5,18.497840102282,10,25,7727.72103762627
0.0480310899850266,0.22172557446065,0.124367264200516,6.60104450233417,0,0.0178,19,18.9987969127804,9,80,34172.4429433346
0.0564052543759619,0.257793905991201,0.144818871244393,6.21838320755029,0,0.0178,19.5,19.4977803253929,11,25,11476.5609457493
0.056957080870606,0.251059730910281,0.134452516125939,6.40412739926583,0,0.0178,20,19.9960546593941,12,25,14339.3988780975
0.04803113548983,0.221826106290717,0.124442694392614,6.59852072864584,0,0.0178,20.5,20.4988833356359,4,80,17314.9088714123
0.057499421089818,0.242469388380126,0.130911501203642,6.52262062269392,0,0.0178,21,20.9925125585173,7,25,6479.31339287758
0.0480312263407626,0.221447818472997,0.124163827750698,6.60801900555921,0,0.0178,21.5,21.4989412344719,7,80,28781.3393857479
0.0480312862994532,0.222057192404885,0.124625805323092,6.59255644551018,0,0.0178,22,21.9989565199081,7,80,28655.3894159794
0.048031499745522,0.221635512530188,0.124316801795365,6.60308242685867,0,0.0178,22.5,22.4989848130994,8,80,30378.3273806572
0.0558309451942016,0.290751526669655,0.166619563586903,5.61843403011484,0,0.0178,23,22.9968695383102,2,25,2658.43255829811
0.0556873777338205,0.295603737154168,0.170240504680457,5.53730220630744,0,0.0178,23.5,23.4967593876147,11,25,8923.648863554
0.0571187656007942,0.266410566088602,0.149579653289414,5.98544980086584,0,0.0178,24,23.990428529945,7,25,6055.53856635094
0.0558258971319023,0.297794346238002,0.168849578340537,5.51140502246338,0,0.0178,24.5,24.4951526848623,4,25,6388.59042286873
0.151946133281852,0.272687489007507,0.158398238185934,5.48723456183753,0,0.0316,0,0,0,25,275.142621517181
0.0925204491421403,0.595819840883552,0.28282311548388,2.82374261922226,0,0.0316,0.5,0.281100100868369,2,25,1228.86545753479
0.0760674390912923,0.270140829030818,0.161540146068831,5.36504039356255,0,0.0316,1,0.958460613742514,5,25,2977.62094902992
0.0760102496651465,0.271605155262179,0.15964702315873,5.43794446240316,0,0.0316,1.5,1.47359280163905,0,25,1801.43328428268
0.0759931398514151,0.272089176054395,0.15907714188065,5.46032947764486,0,0.0316,2,1.98048886853175,0,25,1656.78875279427
0.0759856740261234,0.272304962151398,0.158824682847159,5.47029508575265,0,0.0316,2.5,2.48449436434652,2,25,2770.15134763718
