Gamma_e,delta_a,delta_f,OmegaP,OmegaM,Mu,peak_index,peak_position
0.01,13.5,13.4981790015583,0.181107078518473,0.093062390331404,0.0,1,6.749089500780191
0.01,14.0,13.9982935041581,0.196868394871265,0.109246918448732,0.0,0,-6.999146752079991
0.01,14.0,13.9982935041581,0.196868394871265,0.109246918448732,0.0,1,6.999146752079993
0.01,14.5,14.4982175177921,0.194968399647908,0.102473541089933,0.0,0,-7.249108758897147
0.01,14.5,14.4982175177921,0.194968399647908,0.102473541089933,0.0,1,7.249108758897146
0.01,15.0,14.9981427537182,0.215736491850818,0.126039305302483,0.0,0,-7.49907137686004
0.01,15.0,14.9981427537182,0.215736491850818,0.126039305302483,0.0,1,7.49907137686004
0.01,15.5,15.4982437675066,0.21731701796436,0.12397488185814,0.0,0,-7.749121883754338
0.01,15.5,15.4982437675066,0.21731701796436,0.12397488185814,0.0,1,7.749121883754337
0.01,16.0,15.9979642465126,0.227922986791413,0.134440865725989,0.0,0,-7.998982123257322
0.01,16.0,15.9979642465126,0.227922986791413,0.134440865725989,0.0,1,7.998982123257323
0.01,16.5,16.4981771805005,0.224630755083941,0.125610800733114,0.0,0,-8.249088590251441
0.01,16.5,16.4981771805005,0.224630755083941,0.125610800733114,0.0,1,8.249088590251441
0.01,17.0,16.9978975129137,0.237396616141751,0.139365947816181,0.0,0,-8.498948756457981
0.01,17.0,16.9978975129137,0.237396616141751,0.139365947816181,0.0,1,8.498948756457981
0.01,17.5,17.4978127499286,0.24321663836105,0.143464425053168,0.0,0,-8.748906374965474
0.01,17.5,17.4978127499286,0.24321663836105,0.143464425053168,0.0,1,8.74890637496547
0.01,18.0,17.9941474214512,0.108140474405437,0.0475952898521792,0.0,0,-8.997073710732892
0.01,18.0,17.9941474214512,0.108140474405437,0.0475952898521792,0.0,1,8.997073710732892
0.01,18.5,18.4972334588393,0.262619311099187,0.163287385735281,0.0,0,-9.248616729420801
0.01,18.5,18.4972334588393,0.262619311099187,0.163287385735281,0.0,1,9.248616729420803
0.01,19.0,18.9996419962175,0.12332397606071,0.0415139290086423,0.0,0,-9.499820998115823
0.01,19.0,18.9996419962175,0.12332397606071,0.0415139290086423,0.0,1,9.499820998115824
0.01,19.5,19.4926557295906,0.20351842983433,0.112742168316347,0.0,0,-9.746327864797692
0.01,19.5,19.4926557295906,0.20351842983433,0.112742168316347,0.0,1,9.74632786479769
0.01,20.0,19.9975146526292,0.260889547429653,0.14852786728823,0.0,0,-9.998757326316152
0.01,20.0,19.9975146526292,0.260889547429653,0.14852786728823,0.0,1,9.99875732631615
0.01,20.5,20.4928813260032,0.241041606087815,0.131034764152869,0.0,0,-10.246440663003593
0.01,20.5,20.4928813260032,0.241041606087815,0.131034764152869,0.0,1,10.246440663003593
0.01,21.0,20.9966694972111,0.265533783223009,0.148391871912014,0.0,0,-10.4983347486073
0.01,21.0,20.9966694972111,0.265533783223009,0.148391871912014,0.0,1,10.498334748607299
0.01,21.5,21.4969877576433,0.273650378168499,0.155751331836961,0.0,0,-10.7484938788234
0.01,21.5,21.4969877576433,0.273650378168499,0.155751331836961,0.0,1,10.748493878823401
0.01,22.0,21.9993806328108,0.178200419413294,0.0977037650206101,0.0,0,-10.999690316409898
0.01,22.0,21.9993806328108,0.178200419413294,0.0977037650206101,0.0,1,10.999690316409902
0.01,22.5,22.4913145842144,0.227591885137288,0.130075131201371,0.0,0,-11.245657292110101
0.01,22.5,22.4913145842144,0.227591885137288,0.130075131201371,0.0,1,11.245657292110101
0.01,23.0,22.9901466803805,0.237781309405031,0.13632074794284,0.0,0,-11.495073340193079
